Date,Speaker_Score,Replay_Prob,Decision

2026-01-22T09:59:42.943509,0.32954821297371306,0.25,REPEAT
2026-01-22T10:00:33.760866,0.4120329304260819,0.22316651320246642,REPEAT
2026-01-22T10:01:18.765635,0.49274526693341447,0.25,REPEAT
2026-01-22T10:13:35.562415,0.4357698425456365,0.25,REPEAT
2026-01-22T10:22:13.165353,0.4395652766553444,0.25,VERIFIED
2026-01-22T10:28:31.646900,0.37559257949867686,0.25,REPEAT
2026-01-22T10:28:38.612484,0.39567974741962103,0.25,REPEAT
2026-01-22T11:10:28.322696,0.3287150350493129,0.25,REPEAT
2026-01-22T11:11:21.531609,0.390672080292666,0.25,REPEAT
2026-01-22T11:14:26.930908,0.2802046109230256,0.25,DENIED
2026-01-22T11:15:23.070832,0.4842886156378682,0.25,VERIFIED
2026-01-22T11:15:51.959080,0.29635423181333354,0.13815689674807788,DENIED
2026-01-22T13:40:02.609666,0.46424022777274976,0.1084210594112361,VERIFIED
2026-01-22T13:40:14.850377,0.5291715465645844,0.13140593398201275,VERIFIED
2026-01-23T10:03:43.166699,0.26808972117693547,0.25,DENIED
2026-01-23T10:04:30.249304,0.3388356489222341,0.25,REPEAT
2026-01-23T10:04:52.100933,0.4044933231502401,0.25,REPEAT
2026-01-23T10:05:14.605137,0.31650919448794307,0.25,REPEAT
2026-01-23T10:05:43.691388,0.40975512119869706,0.25,REPEAT
2026-01-23T10:06:30.339647,0.403527300866906,0.25,REPEAT
2026-01-23T10:07:52.083281,0.3630956331992253,0.25,REPEAT
2026-01-23T10:12:14.367796,0.41438147754485155,0.25,VERIFIED
2026-01-23T15:11:11.291561,0.11015409954938077,0.0,DENIED
2026-01-23T15:14:18.936580,0.04607443966489647,0.25,DENIED
2026-01-23T15:17:47.761218,0.43063938351387554,0.25,VERIFIED
2026-01-26T10:17:01.428927,0.042777212744649636,0.06778550227084572,DENIED
2026-01-26T10:17:05.222621,0.2034040434726726,0.48911289480929554,DENIED
2026-01-26T10:17:09.042754,0.2598786183811746,0.25,DENIED
2026-01-26T10:25:35.338437,0.2249380208967644,0.25,DENIED
2026-01-26T10:25:39.012331,0.09872185018122966,0.25,DENIED
2026-01-26T10:25:42.693039,0.5245104538644985,0.25,VERIFIED
2026-01-26T10:59:04.232801,0.446649924992372,0.25,REPEAT
2026-01-26T10:59:08.282019,0.5331401602782463,0.19511874043368693,VERIFIED
2026-01-26T11:20:59.306057,0.6018796746572369,0.20428298860577118,VERIFIED
2026-01-26T16:27:11.577310,0.6161808589666671,0.25,VERIFIED
2026-01-30T10:41:01.038399,0.40587761998176575,0.41709030877630887,DENIED
2026-01-30T10:41:17.958844,0.37423229217529297,0.4989614474938428,DENIED
2026-01-30T10:41:21.017961,0.014677328988909721,0.43511876845903324,DENIED
2026-01-30T10:44:10.760839,0.41142794489860535,0.44218594947235934,DENIED
2026-01-30T10:44:25.316300,0.38546013832092285,0.3581923136245516,DENIED
2026-01-30T10:44:37.029154,0.2233414500951767,0.3870647007564196,DENIED
2026-01-30T11:01:43.316363,0.5226933360099792,0.5846229169241546,VERIFIED
2026-01-30T11:05:18.721197,0.5320509672164917,0.5403375021958542,VERIFIED
2026-01-30T13:35:00.603219,0.29587143659591675,0.7720156928523296,DENIED
2026-01-30T13:39:57.040199,0.25947046279907227,0.5712370864469729,DENIED
2026-01-30T13:42:44.253337,0.3120640516281128,0.5286593123809379,DENIED
2026-01-30T13:48:14.679564,0.27384138107299805,0.796116001384379,DENIED
2026-01-30T14:15:15.242724,0.378937691450119,0.43935499838069964,DENIED
2026-01-30T14:15:38.438708,0.05224919319152832,0.5877030745209321,DENIED
2026-01-30T14:15:50.460576,0.345859169960022,0.40631841511718614,DENIED
2026-01-30T14:39:05.396645,0.07112070918083191,0.4730546704132046,DENIED
2026-01-30T14:39:11.761761,0.33372098207473755,0.4713116074172939,DENIED
2026-01-30T14:39:23.184018,0.38048315048217773,0.3876890227716696,DENIED
2026-01-30T14:39:29.926670,0.1125299260020256,0.9743354876752844,DENIED
2026-01-30T15:23:05.705495,0.6354813575744629,0.5634616035684819,VERIFIED
2026-02-01T13:35:56.700541,0.2673991322517395,0.4035120897639675,DENIED
2026-02-01T13:36:04.100660,0.2875824570655823,0.3689779387487673,DENIED
2026-02-01T13:36:11.474240,0.05702221021056175,0.44389712225964506,DENIED
